Functional module	KO	Annotation
Carbon metabolism	K00855	 phosphoribulokinase [EC:2.7.1.19]
Carbon metabolism	K02446	" fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
Carbon metabolism	K00927	 phosphoglycerate kinase [EC:2.7.2.3]
Carbon metabolism	K01621	 phosphoketolase [EC:4.1.2.9]
Carbon metabolism	K01623	" fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
Carbon metabolism	K00814	 alanine transaminase [EC:2.6.1.2]
Carbon metabolism	K01601	 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
Carbon metabolism	K00873	 pyruvate kinase [EC:2.7.1.40]
Carbon metabolism	K00150	 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
Carbon metabolism	K14455	" aspartate aminotransferase, mitochondrial [EC:2.6.1.1]"
Carbon metabolism	K14454	" aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]"
Carbon metabolism	K00051	 malate dehydrogenase (NADP+) [EC:1.1.1.82]
Carbon metabolism	K05298	 glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
Carbon metabolism	K00029	 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
Carbon metabolism	K01006	" pyruvate,orthophosphate dikinase [EC:2.7.9.1]"
Carbon metabolism	K01100	 sedoheptulose-bisphosphatase [EC:3.1.3.37]
Carbon metabolism	K01624	" fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
Carbon metabolism	K14272	 glutamate--glyoxylate aminotransferase [EC:2.6.1.- 2.6.1.44 2.6.1.2 2.6.1.4]
Carbon metabolism	K11214	 sedoheptulokinase [EC:2.7.1.14]
Carbon metabolism	K01610	 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
Carbon metabolism	K00615	 transketolase [EC:2.2.1.1]
Carbon metabolism	K01632	 fructose-6-phosphate phosphoketolase [EC:4.1.2.22]
Carbon metabolism	K01808	 ribose 5-phosphate isomerase B [EC:5.3.1.6]
Carbon metabolism	K01803	 triosephosphate isomerase (TIM) [EC:5.3.1.1]
Carbon metabolism	K01807	 ribose 5-phosphate isomerase A [EC:5.3.1.6]
Carbon metabolism	K01783	 ribulose-phosphate 3-epimerase [EC:5.1.3.1]
Carbon metabolism	K00028	 malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
Carbon metabolism	K01602	 ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
Carbon metabolism	K00026	 malate dehydrogenase [EC:1.1.1.37]
Flagellar assembly	K02409	 flagellar M-ring protein FliF
Flagellar assembly	K02401	 flagellar biosynthetic protein FlhB
Flagellar assembly	K02394	 flagellar P-ring protein precursor FlgI
Flagellar assembly	K02397	 flagellar hook-associated protein 3 FlgL
Flagellar assembly	K02396	 flagellar hook-associated protein 1 FlgK
Flagellar assembly	K02391	 flagellar basal-body rod protein FlgF
Flagellar assembly	K02390	 flagellar hook protein FlgE
Flagellar assembly	K02393	 flagellar L-ring protein precursor FlgH
Flagellar assembly	K02392	 flagellar basal-body rod protein FlgG
Flagellar assembly	K02386	 flagella basal body P-ring formation protein FlgA
Flagellar assembly	K02557	 chemotaxis protein MotB
Flagellar assembly	K02556	 chemotaxis protein MotA
Flagellar assembly	K02400	 flagellar biosynthesis protein FlhA
Flagellar assembly	K02418	 flagellar protein FliO/FliZ
Flagellar assembly	K02389	 flagellar basal-body rod modification protein FlgD
Flagellar assembly	K02412	 flagellum-specific ATP synthase [EC:3.6.3.14]
Flagellar assembly	K02387	 flagellar basal-body rod protein FlgB
Flagellar assembly	K02410	 flagellar motor switch protein FliG
Flagellar assembly	K02411	 flagellar assembly protein FliH
Flagellar assembly	K02416	 flagellar motor switch protein FliM
Flagellar assembly	K02417	 flagellar motor switch protein FliN/FliY
Flagellar assembly	K02407	 flagellar hook-associated protein 2
Flagellar assembly	K02406	 flagellin
Iron-related metabolism	K03594	 bfr; bacterioferritin
Iron-related metabolism	K02255	 ftnB; ferritin-like protein 2
Iron-related metabolism	K16088	" ABC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid"
Iron-related metabolism	K07490	 feoC; ferrous iron transport protein C
Iron-related metabolism	K04759	 feoB; ferrous iron transport protein B
Iron-related metabolism	K04758	 feoA; ferrous iron transport protein A
Iron-related metabolism	K02014	 ABC.FEV.OM; iron complex outermembrane recepter protein
Iron-related metabolism	K03711	" fur; Fur family transcriptional regulator, ferric uptake regulator"
Iron-related metabolism	K02012	" afuA, fbpA; iron(III) transport system substrate-binding protein"
Iron-related metabolism	K03839	" fldA, nifF, isiB; flavodoxin I"
Iron-related metabolism	K02011	" afuB, fbpB; iron(III) transport system permease protein"
Iron-related metabolism	K16089	" ABC.FEV.OM2, fepA, iroN, cirA, pfeA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
Iron-related metabolism	K02010	" afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]"
Iron-related metabolism	K02217	" ftnA, ftn; ferritin [EC:1.16.3.1]"
Iron-related metabolism	K16091	 fecA; Fe(3+) dicitrate transport protein
Iron-related metabolism	K00522	 FTH1; ferritin heavy chain [EC:1.16.3.1]
Manganese-related metabolism	K11924	" mntR; DtxR family transcriptional regulator, manganese transport regulator"
Manganese-related metabolism	K11521	" K11521, manR; two-component system, OmpR family, manganese sensing response regulator"
Manganese-related metabolism	K03322	 mntH; manganese transport protein
Manganese-related metabolism	K11607	 sitB; manganese/iron transport system ATP-binding protein
Manganese-related metabolism	K11606	 sitD; manganese/iron transport system permease protein
Manganese-related metabolism	K11605	 sitC; manganese/iron transport system permease protein
Manganese-related metabolism	K11604	 sitA; manganese/iron transport system substrate-binding protein
Methanogenesis	K00584	 mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
Methanogenesis	K04480	 mtaB; methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]
Methanogenesis	K03390	 hdrC; heterodisulfide reductase subunit C [EC:1.8.98.1]
Methanogenesis	K00202	" fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.99.5]"
Methanogenesis	K00577	 mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]
Methanogenesis	K00399	 mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
Methanogenesis	K00441	 frhB; coenzyme F420 hydrogenase beta subunit [EC:1.12.98.1]
Nitrogen metabolism	K02568	 napB; cytochrome c-type protein NapB
Nitrogen metabolism	K02569	 napC; cytochrome c-type protein NapC
Nitrogen metabolism	K00368	 nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
Nitrogen metabolism	K01428	 ureC; urease subunit alpha [EC:3.5.1.5]
Nitrogen metabolism	K04747	 norF; nitric oxide reductase NorF protein
Nitrogen metabolism	K04748	 norQ; nitric oxide reductase NorQ protein
Nitrogen metabolism	K02570	 napD; periplasmic nitrate reductase NapD
Nitrogen metabolism	K02573	 napG; ferredoxin-type protein NapG
Nitrogen metabolism	K02572	 napF; ferredoxin-type protein NapF
Nitrogen metabolism	K02575	" narK, narU, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"
Nitrogen metabolism	K02595	 nifW; nitrogenase-stabilizing/protective protein
Nitrogen metabolism	K02567	 napA; periplasmic nitrate reductase NapA [EC:1.7.99.4]
Nitrogen metabolism	K02164	 norE; nitric oxide reductase NorE protein
Nitrogen metabolism	K02305	 norC; nitric oxide reductase subunit C
Nitrogen metabolism	K01430	 ureA; urease subunit gamma [EC:3.5.1.5]
Nitrogen metabolism	K01420	" ntcA, fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
Nitrogen metabolism	K02598	 nirC; nitrite transporter NirC
Nitrogen metabolism	K07218	 nosD; nitrous oxidase accessory protein
Nitrogen metabolism	K15864	 nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
Nitrogen metabolism	K00531	 anfG; nitrogenase [EC:1.18.6.1]
Nitrogen metabolism	K00376	 nosZ; nitrous-oxide reductase [EC:1.7.2.4]
Nitrogen metabolism	K02448	 norD; nitric oxide reductase NorD protein
Nitrogen metabolism	K02591	 nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
Nitrogen metabolism	K03320	" amt, TC.AMT; ammonium transporter, Amt family"
Nitrogen metabolism	K00672	 ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
Nitrogen metabolism	K00363	 nirD; nitrite reductase (NAD(P)H) small subunit [EC:1.7.1.4]
Nitrogen metabolism	K10946	 amoC; ammonia monooxygenase subunit C
Nitrogen metabolism	K10945	 amoB; ammonia monooxygenase subunit B
Nitrogen metabolism	K10944	 amoA; ammonia monooxygenase subunit A [EC:1.14.99.39]
Nitrogen metabolism	K02588	 nifH; nitrogenase iron protein NifH [EC:1.18.6.1]
Nitrogen metabolism	K15579	" nrtD, cynD; nitrate/nitrite transport system ATP-binding protein"
Nitrogen metabolism	K15578	" nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]"
Nitrogen metabolism	K02574	 napH; ferredoxin-type protein NapH
Nitrogen metabolism	K10535	 hao; hydroxylamine oxidase [EC:1.7.3.4]
Nitrogen metabolism	K00366	 nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
Nitrogen metabolism	K00367	 narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
Nitrogen metabolism	K15577	" nrtB, nasE, cynB; nitrate/nitrite transport system permease protein"
Nitrogen metabolism	K15576	" nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein"
Nitrogen metabolism	K00362	 nirB; nitrite reductase (NAD(P)H) large subunit [EC:1.7.1.4]
Nitrogen metabolism	K00370	" narG; nitrate reductase 1, alpha subunit [EC:1.7.99.4]"
Nitrogen metabolism	K02586	 nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
Nitrogen metabolism	K04561	 norB; nitric oxide reductase subunit B [EC:1.7.2.5]
Oxygenic photosynthesis	K05376	" cpeA, mpeA; phycoerythrin alpha chain"
Oxygenic photosynthesis	K02689	 psaA; photosystem I P700 chlorophyll a apoprotein A1
Oxygenic photosynthesis	K02108	" ATPF0A, atpB; F-type H+-transporting ATPase subunit a [EC:3.6.3.14]"
Oxygenic photosynthesis	K02097	 apcF; phycobilisome core component
Oxygenic photosynthesis	K02092	 apcA; allophycocyanin alpha subunit
Oxygenic photosynthesis	K08918	 pcbA; chlorophyll a/b binding light-harvesting protein PcbA
Oxygenic photosynthesis	K08907	 LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1
Oxygenic photosynthesis	K08912	 LHCB1; light-harvesting complex II chlorophyll a/b binding protein 1
Oxygenic photosynthesis	K05383	 cpeT; CpeT protein
Oxygenic photosynthesis	K02703	 psbA; photosystem II P680 reaction center D1 protein
Oxygenic photosynthesis	K02284	 cpcA; phycocyanin alpha chain
Oxygenic photosynthesis	K02636	 petC; cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1]
Oxygenic photosynthesis	K02641	 petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]
Oxygenic photosynthesis	K02628	 pecA; phycoerythrocyanin alpha chain
Oxygenic photosynthesis	K02638	 petE; plastocyanin
Phosphate-related metabolism	K02038	 pstA; phosphate transport system permease protein
Phosphate-related metabolism	K05306	 phnX; phosphonoacetaldehyde hydrolase [EC:3.11.1.1]
Phosphate-related metabolism	K06163	 phnJ; PhnJ protein
Phosphate-related metabolism	K07636	" phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
Phosphate-related metabolism	K01113	 phoD; alkaline phosphatase D [EC:3.1.3.1]
Phosphate-related metabolism	K01077	" E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]"
Phosphate-related metabolism	K02037	 pstC; phosphate transport system permease protein
Phosphate-related metabolism	K06162	 phnM; PhnM protein
Phosphate-related metabolism	K02040	 pstS; phosphate transport system substrate-binding protein
Phosphate-related metabolism	K07093	 phoX; K07093
Phosphate-related metabolism	K02042	 phnE; phosphonate transport system permease protein
Phosphate-related metabolism	K06166	 phnG; PhnG protein
Phosphate-related metabolism	K02044	 phnD; phosphonate transport system substrate-binding protein
Phosphate-related metabolism	K06164	 phnI; PhnI protein
Phosphate-related metabolism	K06165	 phnH; PhnH protein
Phosphate-related metabolism	K00937	 ppk; polyphosphate kinase [EC:2.7.4.1]
Phosphate-related metabolism	K05774	" phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]"
Phosphate-related metabolism	K03430	 phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]
Phosphate-related metabolism	K04750	 phnB; PhnB protein
Sulfur metabolism	K10150	 cysO; cysteine synthase / O-phosphoserine sulfhydrylase / spermine synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]
Sulfur metabolism	K00955	 cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
Sulfur metabolism	K00957	 cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
Sulfur metabolism	K00392	 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
Sulfur metabolism	K00390	 cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8]
Sulfur metabolism	K02045	 cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]
Sulfur metabolism	K00395	" aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
Sulfur metabolism	K02046	 cysU; sulfate transport system permease protein
Sulfur metabolism	K02048	" cysP, sbp; sulfate transport system substrate-binding protein"
Sulfur metabolism	K02047	 cysW; sulfate transport system permease protein
Sulfur metabolism	K00394	" aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
Sulfur metabolism	K13811	 PAPSS; 3p-phosphoadenosine 5p-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
Sulfur metabolism	K07307	 dmsB; anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)
Sulfur metabolism	K07306	 dmsA; anaerobic dimethyl sulfoxide reductase subunit A
Sulfur metabolism	K07308	 dmsC; anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)
Sulfur metabolism	K01738	 cysK; cysteine synthase A [EC:2.5.1.47]
Sulfur metabolism	K17486	 dmdA; dimethylsulfoniopropionate demethylase [EC:2.1.1.269]
Sulfur metabolism	K16953	 dddL; dimethylpropiothetin dethiomethylase [EC:4.4.1.3]
Sulfur metabolism	K00387	" soxC, E1.8.3.1, SUOX; sulfite oxidase [EC:1.8.3.1]"
Sulfur metabolism	K00380	 cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
Sulfur metabolism	K00381	 cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
Sulfur metabolism	K03321	" sulP, TC.SULP; sulfate permease, SulP family"
Sulfur metabolism	K12339	 cysM; cysteine synthase B [EC:2.5.1.47]
Sulfur metabolism	K11180	" dsrA; sulfite reductase, dissimilatory-type alpha subunit [EC:1.8.99.3]"
Sulfur metabolism	K11181	" dsrB; sulfite reductase, dissimilatory-type beta subunit [EC:1.8.99.3]"
