PANGAEA sample id	Station.label	Layer	polar	lower.size.fraction	upper.size.fraction	Event.date	Latitude	Longitude	Depth.nominal	Ocean.region	Temperature	Oxygen	ChlorophyllA	Carbon.total	Salinity	Gradient.Surface.temp(SST)	Fluorescence	CO3	HCO3	Density	PO4	PAR.PC	NO3	Si	Alkalinity.total	Ammonium.5m	Depth.Mixed.Layer	Lyapunov	NO2	Depth.Min.O2	NO2NO3	Nitracline	Brunt.Väisälä	Iron.5m	Depth.Max.O2	Okubo.Weiss	Residence.time
TARA_B100000110	TARA_040	SRF	non polar	0.22	1.6	2010-03-22T03:04:47	17.5294	67.9576	5	[IO] Indian Ocean (MRGID:1904)	27.584135	192.986	0.131603	0.0011	36.22668	0.29196	1.15425	0.0015	0	23.453275	0.27		0	1.792	0	0.0214855	27	0.086921	0.007	643	0.026		23	0.001387719	33	0.043242	0
TARA_B100000116	TARA_040	MIX	non polar	0.22	1.6	2010-03-22T11:22:11	17.4847	67.9997	75	[IO] Indian Ocean (MRGID:1904)	23.625385	59.30785	0.060917	9.00E-04	35.92706	0.31867	1.91575	0.0012	0	24.4576	1.5		13.831074	9.546	0	0.0214855	33	0.086921	0.04	490	15.79	72	31	0.001387719	40	0.043242	0
TARA_B100000120	TARA_040	MES	non polar	0.22	1.6	2010-03-22T15:48:12	17.4855	68.0247	285	[IO] Indian Ocean (MRGID:1904)	15.070405	2.94605	0.012842	0	35.90477	0.31792	2.685375	0	0.0114	26.665425	2.666		19.610971	40.6	0	0.0214855	30	0.086921	1.334	486	23	73	71	0.001387719	15	0.043242	0
TARA_B100000127	TARA_042	SRF	non polar	0.22	1.6	2010-04-04T02:47	6.0001	73.8955	5	[IO] Indian Ocean (MRGID:1904)	30.12785	188.79575	0.080016	0.00085	34.56775	0.034594	0.966875	0.00085	0	21.358942	0.0765		0	2.171	0	0.015891551	41		0.001	184	0.022	85	102	0.001387698	44	0.15868	8
TARA_B100000133	TARA_042	DCM	non polar	0.22	1.6	2010-04-04T09:50	5.9998	73.9067	80	[IO] Indian Ocean (MRGID:1904)	27.9561	137.998083	0.228999	0.0036	35.044342	0.033777	1.42	0.01365	0.0024	22.474092	0.2505		0	2.7335	0.00295	0.015891551	32		0.152	176	0.741	84	105	0.001387698	36	0.15868	8
TARA_B100000143	TARA_043	SRF	non polar	0.22	1.6	2010-04-05T10:02	4.6599	73.4856	5	[IO] Indian Ocean (MRGID:1904)	29.938975	190.26525	0.186844	0.01135	34.493275	0.51851	1.0525	0.00585	0	21.37115	0.0705		0	1.8285	0.00055	0.015170097	39	0.118141	0.004	49	0.0265	45	43	0.001387683	13	0.146439	2
TARA_B100000178	TARA_050	SRF	non polar	0.22	1.6	2010-05-09T05:30	-21.4966	56.9011	5	[IO] Indian Ocean (MRGID:1904)	27.5493	194.3573	0.052666	0.0013	34.949725	0.37852	0.938625	0.0014	0	22.503855	0.076		0.583605	2.256	0	0.011776057	72	0.075282	0.002	972	0.026	971	82	0.00099548	571	-0.065955	9.833333
TARA_B100000194	TARA_051	SRF	non polar	0.22	1.6	2010-05-11T03:42	-21.5043	54.3563	5	[IO] Indian Ocean (MRGID:1904)	27.488383	194.433917	0.077188	0.0011	34.939958	1.0655	0.875	0.0011	0	22.516108	0.07325		0.532471	1.8665	0	0.011299031	30	0.036539	0	1001	0.138	1040	79	0.00097728	597	0.125682	0
TARA_B100000212	TARA_052	SRF	non polar	0.22	1.6	2010-05-17T04:10	-16.957	53.9801	5	[IO] Indian Ocean (MRGID:1904)	27.956483	191.628083	0.134305	0.0022	34.54545	0.20159	0.977083	0.0061	0	22.067625	0.119		0.532471	2.666	0	0.01050256	53	0.074677	0	958	0		79	0.001048266	470	0.274476	2.138889
TARA_B100000214	TARA_052	DCM	non polar	0.22	1.6	2010-05-17T11:42	-16.9534	53.9601	75	[IO] Indian Ocean (MRGID:1904)	25.212642	194.81775	0.228414	0.0091	34.896833	0.18796	1.180417	0.0296	0	23.203642	0.159		0.532471	2.824	0.0057	0.01050256	63	0.074677	0.032	170	0.4675	166	73	0.001048266	448	0.274476	2.138889
TARA_B100000236	TARA_049	SRF	non polar	0.22	1.6	2010-04-23T10:10	-16.8084	59.5043	5	[IO] Indian Ocean (MRGID:1904)	28.2729	192.5495		0.0072	34.4863	0.61512	0.9475	0.0048	0	21.9195	0.096		0	2.436	0	0.011667649		0.135263	0.006	3	0.062	3	7	0.001104251	4	0.21197	1.694444
TARA_B100000248	TARA_047	SRF	non polar	0.22	1.6	2010-04-16T04:42	-2.0465	72.1568	5	[IO] Indian Ocean (MRGID:1904)	30.15995	187.3595	0.110314	7.00E-04	34.91195	0.27021	0.855	7.00E-04	0	21.60515	0.093		0	2.284	0	0.016535839	23	0.045411	0.001	737	0.018	112	57	0.001313573	30	0.013305	0
TARA_B100000261	TARA_046	SRF	non polar	0.22	1.6	2010-04-15T02:01	-0.6625	73.161	5	[IO] Indian Ocean (MRGID:1904)	30.12475	185.755	0.148923	0.00815	35.1113	0.6748	0.93875	0.0026	0.00675	21.76745	0.102		0.436989	1.947	0.00185	0.016438504	23	0.059455	0.0045	64	0.047	50	57	0.001279924	13	0.04222	3.5
TARA_B100000267	TARA_044	SRF	non polar	0.22	1.6	2010-04-11T03:54	2.815	71.534	5	[IO] Indian Ocean (MRGID:1904)	30.520165	187.75135	0.042015	0	35.04006	0.62578	0.97225	3.00E-04	0	21.576255	0.1225		0	2.2655	0	0.015451062	25	0.023736	0.0045	815	0.044	70	65	0.001377608	34	0.00089	0
TARA_B100000282	TARA_041	SRF	non polar	0.22	1.6	2010-03-30T02:47	14.6059	69.9776	5	[IO] Indian Ocean (MRGID:1904)	29.151544	187.306625	0.092377	0.001	36.0499	0.25556	0.965625	0.00075	0	22.799819	0.1565		0	1.3865	0	0.020277846	25	0.026178	0.007	450	0.057	74	79	0.001387699	24	-0.412443	19.027778
TARA_B100000287	TARA_041	DCM	non polar	0.22	1.6	2010-03-30T10:56	14.5536	70.0128	60	[IO] Indian Ocean (MRGID:1904)	27.374181	164.440063	0.166581	0.01485	36.503531	0.22011	1.377813	0.0249	0.00665	23.734719	0.846		0	3.5765	0.002	0.020277846	25	0.026178	0.2375	404	7.847	67	29	0.001387699	33	-0.412443	19.027778
TARA_B100000315	TARA_037	MES	non polar	0.22	1.6	2010-03-12T17:08:47	20.8457	63.5851	600	[IO] Indian Ocean (MRGID:1904)	11.984006	2.81625	0.008026	0	35.672725	0.024714	2.6925	0	0	27.130513			31.290804		0	0.028889008		0.06187		587		95	30	0.001387737	13	-0.087532	0
TARA_B100000353	TARA_053	SRF	non polar	0.22	1.6	2010-05-25T05:27	-13.0833	46.971	5	[IO] Indian Ocean (MRGID:1904)	28.9154	193.59375	0.044092		34.9076	0.2822	1.03875			22.0233			0.532471			0.012244971	50	0.14768		964		110	80	0.001073861	59	0.54225	0
TARA_B100000355	TARA_054	SRF	non polar	0.22	1.6	2010-05-26T10:15	-12.807	45.2247	5	[IO] Indian Ocean (MRGID:1904)	29.305763	189.6795	0.104507	0.0178	34.96295		1.0225	0.0061	0.0028	21.934312	0				0.0016	0.011802378	23	0.080656	0.011375	23	0		10	0.001068275	12	0.903902	5.666667
TARA_B100000420	TARA_072	SRF	non polar	0.22	3	2010-10-05T08:00	-8.7789	-17.9099	5	[SAO] South Atlantic Ocean (MRGID:1914)	25.064425	199.135	0.104143	0.0018	36.41678	0.28465	1.77348	0.0038	0	24.393095	0.104		0.416799	0.868	0	0.011292624	91	0.087015	0.003	300	0.018	144	108	0.001262169	28	0.006396	0
TARA_B100000422	TARA_072	DCM	non polar	0.22	3	2010-10-05T15:35	-8.7296	-17.9604	100	[SAO] South Atlantic Ocean (MRGID:1914)	23.630095	190.5966	0.242586	0.0086	36.588225	0.27521	2.171779	0.0616	0	24.96531	0.143		1.049606	1.284	0.0083	0.011292624	88	0.087015	0.011	290	0.044	143	98	0.001262169	16	0.006396	0
TARA_B100000436	TARA_071	SRF	non polar	0.22	3	2010-09-28T08:14	-9.3	-9.5587	5	[SAO] South Atlantic Ocean (MRGID:1914)	23.8044	201.167125	0.141003	0.0058	36.37005	0.48883	1.876613	0.0155	0	24.737612	0.127		0	1.473	0.00055	0.012844777	73	0.024995	0.009	405	0.035	92	83	0.001243577	23	0.00506	0
TARA_B100000444	TARA_070	MES	non polar	0.22	3	2010-09-21T11:57:54	-20.4075	-3.1641	800	[SAO] South Atlantic Ocean (MRGID:1914)	4.188237	161.92525	0		34.446963	0.41681	3.251941			27.333325	2.522		36.675625	44.86		0.015283077	146	0.047133	0.01	219	36.73		156	0.000787816	15	0.009208	0
TARA_B100000457	TARA_070	SRF	non polar	0.22	3	2010-09-21T06:55	-20.4091	-3.1759	5	[SAO] South Atlantic Ocean (MRGID:1914)	19.77001	215.2007	0.117466	0.0103	36.35839	0.33937	2.071928	0.04	0	25.859525	0.309		1.763081	1.1485	0.0033	0.015283077	149	0.047133	0.0465	235	0.8015	161	159	0.000787816	13	0.009208	0
TARA_B100000473	TARA_068	SRF	non polar	0.22	3	2010-09-14T06:55	-31.0266	4.665	5	[SAO] South Atlantic Ocean (MRGID:1914)	16.8632	234.4763	0.309005	0.01515	35.686585	0.11343	1.951133	0.0462	0	26.07437	0.1455		1.103865	1.9865	0.00255	0.015807986	156	0.120437	0.201	1320	0.939		353	0.00036828	237	0.069036	6.388889
TARA_B100000480	TARA_068	DCM	non polar	0.22	3	2010-09-14T13:30	-31.027	4.6802	50	[SAO] South Atlantic Ocean (MRGID:1914)	16.74878	231.9774	0.325714	0.0183	35.68407	0.11343	2.011787	0.0692	0	26.101325	0.227		0.904785	2.436	0.0038	0.015807986	156	0.120437	0.285	1320	1.08		353	0.00036828	237	0.069036	6.388889
TARA_B100000493	TARA_067	SRF	non polar	0.22	3	2010-09-07T06:19	-32.2401	17.7103	5	[SAO] South Atlantic Ocean (MRGID:1914)	13.04322	252.63145	0.765222	2.1997	34.870735	2.6088	4.093218	0.07385	0.2919	26.28407			1.264607		0.0483	0.043375768	25	0		89		32	35	0.000415882	14	0.04459	1.111111
TARA_B100000513	TARA_076	SRF	non polar	0.22	3	2010-10-16T09:55	-20.9354	-35.1803	5	[SAO] South Atlantic Ocean (MRGID:1914)	23.374825	206.23185	0.055113	0.0019	37.076575	0.59536	1.636802	0.0016	0	25.40018	0.055883		0.185971	0.814172	0	0.011959192	50	0.027592	0.001404	582	0	849	152	0.000776878	77	0.084131	0
TARA_B100000515	TARA_076	DCM	non polar	0.22	3	2010-10-16T16:58:37	-21.0292	-35.3498	150	[SAO] South Atlantic Ocean (MRGID:1914)	21.16596	200.32465	0.103558	0.00245	36.61951	0.32089	1.931379	0.01715	0	25.68731	0.051522		0.218613	0.712116	6.00E-04	0.011959192	51	0.027592	0.047654	176	0	205	202	0.000776878	28	0.084131	0
TARA_B100000524	TARA_078	SRF	non polar	0.22	3	2010-11-04T10:24	-30.1367	-43.2899	5	[SAO] South Atlantic Ocean (MRGID:1914)	20.07775	221.13845	0.066207	0.0054	36.32553	3.7648	1.674628	0.0027	0	25.754115	0		0.025333	0.749	0	0.017718557	89	0.14819	0	600	0.026	580	197	0.000862562	887	0.053558	5.777778
TARA_B100000526	TARA_078	DCM	non polar	0.22	3	2010-11-04T18:16:53	-30.1484	-43.2705	120	[SAO] South Atlantic Ocean (MRGID:1914)	19.32335	216.6547	0.16855	0.0064	36.27746	1.5442	1.943116	0.0343	0	25.920365	0		0.085111	0.319	0.002	0.017718557	71	0.14819	0.053	160	0.104	166	4	0.000862562	42	0.053558	5.777778
TARA_B100000562	TARA_087	SRF	polar	0.22	3	2011-01-17T17:12	-63.8768	-56.0916	5	[SO] Southern Ocean (MRGID:1907)	-0.27325	392.56	3.102138		34.2014					27.474675						0.148009852	18	0.050114		119			7	2.39E-05	13	0.005717	1.5
TARA_B100000575	TARA_111	SRF	non polar	0.22	3	2011-05-31T14:25	-16.9601	-100.6335	5	[SPO] South Pacific Ocean (MRGID:1910)	22.78183	209.1003	0.154999	0.0027	35.98269	0.69721	1.775215	0.0041	0	24.742485	0.5		3.149999	1.0325	0	0.013075565	73	0.018781	0.0415	332	2.676	260	83	3.01E-06	30	-0.075767	34.305556
TARA_B100000579	TARA_111	DCM	non polar	0.22	3	2011-05-31T20:28:10	-16.9587	-100.6751	90	[SPO] South Pacific Ocean (MRGID:1910)	19.783275	208.54895	0.207911	0.0035	35.69581	0.51854	2.047239	0.0141	0	25.354365	0.443		0.85366	0.9285	0.0047	0.013075565	67	0.018781	0.203	233	1.2215	230	225	3.01E-06	70	-0.075767	34.305556
TARA_B100000593	TARA_113	SRF	non polar	0.22	3	2011-06-19T17:12	-23.1108	-134.9327	5	[SPO] South Pacific Ocean (MRGID:1910)	23.791125	202.996	0.1251		36.51495	0.68621	1.910882			24.851175			0			0.005074472	53	0.030077		53		49	52	0.000134219	14	-0.072296	2.222222
TARA_B100000603	TARA_128	SRF	non polar	0.22	3	2011-09-04T18:00	3.00E-04	-153.6759	5	[SPO] South Pacific Ocean (MRGID:1910)	26.218438	180.67375	0.25349	0.0061	35.129025	0.28378	1.682422	0.0127	0	23.062688	0.53975		2.964091	2.668	0.0015	0.032420254	77	0.115437	0.2715	483	5.0815	281	101	3.35E-06	14	0.069092	0
TARA_B100000611	TARA_128	DCM	non polar	0.22	3	2011-09-05T18:40	0.0222	-153.6858	40	[SPO] South Pacific Ocean (MRGID:1910)	26.139288	177.673063	0.28262	0.0082	35.146525	0.31764	1.708381	0.0203	0	23.1032	0.54925		3.000673	2.7405	0.0036	0.032420254	64	0.115437	0.2835	376	5.264	298	113	3.35E-06	15	0.069092	0
TARA_B100000622	TARA_129	SRF	non polar	0.22	3	2011-09-10T17:57	6.671	-153.0658	5	[NPO] North Pacific Ocean (MRGID:1908)	28.29544	185.28475	0.21374	0.0025	34.74947	0.35133	1.600104	0.0057	0	22.10997	0.225		0	1.3695	0.0016	0.012012992	81	0.045416	0.042	169	0.4145	153	110	3.43E-06	39	0.002842	1.083333
TARA_B100000624	TARA_129	DCM	non polar	0.22	3	2011-09-11T16:50:01	6.6112	-153.0543	85	[NPO] North Pacific Ocean (MRGID:1908)	28.308435	183.1609	0.214085	0.004	34.798985	0.18099	1.683812	0.015	0	22.14902	0.332		0	1.448	0.0025	0.012012992	91	0.045416	0.6895	169	1.1285	154	117	3.43E-06	41	0.002842	1.083333
TARA_B100000637	TARA_131	SRF	non polar	0.22	3	2011-09-29T19:23	22.7598	-157.9568	5	[NPO] North Pacific Ocean (MRGID:1908)	26.275305	194.93045	0.097229	0.0026	35.27298	0.20392	1.322836	0.0035	0	23.153445	0.0457		0	1.0473	0	0.015839912	64	0.05711	0.0015	784	0.018	462	80	0.000198943	95	-0.047315	0
TARA_B100000639	TARA_131	DCM	non polar	0.22	3	2011-09-30T17:37:06	22.7901	-157.9439	110	[NPO] North Pacific Ocean (MRGID:1908)	22.3077	204.16885	0.11445	0.00525	35.305705	0.18662	1.672468	0.02915	0	24.36847	0.0172		0	1.6413	0.00155	0.015839912	56	0.05711	0.01	159	0.006	166	86	0.000198943	117	-0.047315	0
TARA_B100000651	TARA_131	MES	non polar	0.22	3	2011-10-01T00:58:10	22.7546	-158.0067	746	[NPO] North Pacific Ocean (MRGID:1908)	4.663706	22.28975	0	0	34.254006	0.28285	3.570392	0	0	27.129662			37.060557		0	0.015839912	45	0.05711		745		448	56	0.000198943	61	-0.047315	0
TARA_B100000658	TARA_132	SRF	non polar	0.22	3	2011-10-04T17:46	31.5213	-158.9958	5	[NPO] North Pacific Ocean (MRGID:1908)	25.164595	197.7245	0.101563	0.0024	35.19025	0.28116	1.397096	0.0035	0	23.434915	0.0062		0	2.4278	0	0.022323498	42	0.043804	0.002	1026	0.01	1055	52	0.00081438	50	0.134524	0
TARA_B100000660	TARA_132	DCM	non polar	0.22	3	2011-10-05T00:59:03	31.5168	-159.046	115	[NPO] North Pacific Ocean (MRGID:1908)	15.321075	222.94125	0.158691	0.0099	34.39568	0.95762	1.910665	0.041	0	25.4389	0.1252		0	4.4468	0.0055	0.022323498	48	0.043804	0.017	16	0.047	128	58	0.00081438	52	0.134524	0
TARA_B100000674	TARA_124	SRF	non polar	0.22	3	2011-08-04T18:33	-9.1504	-140.5216	5	[SPO] South Pacific Ocean (MRGID:1910)	26.572419	190.378187	0.261381	0.01184	35.384031	0.096513	1.628674	0.01821	0.00774	23.143631	0.63025		4.965553	2.53325	0.00937	0.023188621	103	0.043603	0.1665	286	6.2015	241	113	2.46E-06	13	9.60E-05	2.777778
TARA_B100000676	TARA_124	MIX	non polar	0.22	3	2011-08-05T17:31:19	-9.0714	-140.5973	120	[SPO] South Pacific Ocean (MRGID:1910)	24.81397	172.42475	0.077051	0.00185	35.907345	0.10891	1.908626	0.00975	0	24.092785	0.4885		4.148328	1.469	0.00585	0.023188621	101	0.043603	0.3535	193	1.19925	145	111	2.46E-06	13	9.60E-05	2.777778
TARA_B100000678	TARA_122	MES	non polar	0.22	3	2011-07-27T19:28:43	-8.9729	-139.2393	600	[SPO] South Pacific Ocean (MRGID:1910)	7.133995	40.6107	0		34.5789	0.1873	3.112808			27.07634			41.697487			0.030111594	98	0.028977		255		209	107	2.32E-06	13	0.007751	15.833333
TARA_B100000683	TARA_123	SRF	non polar	0.22	3	2011-07-31T17:20	-8.9068	-140.283	5	[SPO] South Pacific Ocean (MRGID:1910)	26.586685	189.6701	0.181215	0.0092	35.3551		1.63837	0.01	0.0036	23.11712	0.53495		4.805128	2.2205	0.0023	0.02508309	122	0.053774	0.14425	606	4.9015	278	134	2.28E-06	14	-0.011503	1.083333
TARA_B100000686	TARA_123	MIX	non polar	0.22	3	2011-08-01T17:52:45	-8.9109	-140.2845	150	[SPO] South Pacific Ocean (MRGID:1910)	21.97372	158.18405	0	0.000925	35.877315		1.955839	0.006175	0.002	24.895825	0.6607		5.004597	1.18375	0.0025	0.02508309	107	0.053774	1.46875	237	5.44175	236	234	2.28E-06	13	-0.011503	1.083333
TARA_B100000700	TARA_122	DCM	non polar	0.22	3	2011-07-28T17:15:56	-9.0063	-139.1394	115	[SPO] South Pacific Ocean (MRGID:1910)	24.661385	178.3692	0.199886	0.0028	36.101175	0.10853	1.880646	0.0107	0	24.2843	0.582933		3.213808	1.907042	0.0093	0.030111594	101	0.028977	0.092792	186	2.67775	131	109	2.32E-06	15	0.007751	15.833333
TARA_B100000713	TARA_080	SRF	non polar	0.22	3	2010-11-29T11:21	-40.6511	-52.182	5	[SAO] South Atlantic Ocean (MRGID:1914)	19.93457	222.4663	0.13213	0.0309	35.622685	1.2528	2.129288	0.0058	0	25.25528	0		0	1.039	0	0.096365529	38	0.133847	0	249	0.048	108	45	0.00122622	552	-3.547166	15.416667
TARA_B100000747	TARA_076	MES	non polar	0.22	3	2010-10-17T09:05:05	-20.9315	-35.1794	800	[SAO] South Atlantic Ocean (MRGID:1914)	4.664275	191.413187	0	0	34.369569	0.20289	2.821232	0	0	27.220344			33.940795		0	0.011959192	52	0.027592		581		900	143	0.000776878	65	0.084131	0
TARA_B100000765	TARA_083	SRF	polar	0.22	3	2010-12-16T11:58	-54.3739	-65.1342	5	[SAO] South Atlantic Ocean (MRGID:1914)	7.12605	294.22875	0.308897		33.254213	2.1768	2.970999			26.02655	1.176		13.592516	0.936		0.25779969	78	0	0.198	78	10.86	74	77	3.29E-05	13	0.072135	0
TARA_B100000767	TARA_082	DCM	non polar	0.22	3	2010-12-06T18:58	-47.2007	-57.9446	40	[SAO] South Atlantic Ocean (MRGID:1914)	7.154875	306.1555	0.507313		34.05055	0.82188	2.133364			26.649733	1.356		18.047311	2.661		0.125833504	18	0.202122	0.1185	129	18.525	66	62	0.000290781	24	0.056052	0
TARA_B100000768	TARA_082	SRF	non polar	0.22	3	2010-12-06T10:33	-47.1863	-58.2902	5	[SAO] South Atlantic Ocean (MRGID:1914)	7.579417	303.147667	0.426587		34.05025	1.211	2.128396			26.589567	1.302		18.434187	1.945		0.125833504	55	0.202122	0.146	952	18.005	59	64	0.000290781	74	0.056052	0
TARA_B100000780	TARA_084	SRF	polar	0.22	3	2011-01-03T11:05	-60.2287	-60.6476	5	[SO] Southern Ocean (MRGID:1907)	1.9034	338.526	0.207979		33.7198	3.3784	2.105012			26.9578	1.723		24.903191	16.55		0.096893812	254	0.082884	0.266	553	25.3	75	69	8.83E-06	60	-0.48219	1.972222
TARA_B100000787	TARA_085	SRF	polar	0.22	3	2011-01-06T10:38	-62.0385	-49.529	5	[SO] Southern Ocean (MRGID:1907)	0.73159	344.81235	0.276495	0.02675	34.327465	0.27081	2.220386	0.00375	0.0155	27.52175	2.1055		29.73383	80.55	0	0.007686064	499	0.02576	0.1055	596	28.64	28	70	0.000451463	60	-0.012327	19.777778
TARA_B100000795	TARA_085	DCM	polar	0.22	3	2011-01-06T19:34:21	-62.2231	-49.2139	90	[SO] Southern Ocean (MRGID:1907)	-0.792395	326.6803	0.289537		34.36258	0.46757	2.471241			27.6286	2.309		32.911358	81.82		0.007686064	42	0.02576	0.06	191	31	177	55	0.000451463	17	-0.012327	19.777778
TARA_B100000801	TARA_090	SRF	non polar	0.22	3	2011-02-21T20:23	-39.6466	-76.9634	5	[SPO] South Pacific Ocean (MRGID:1910)	17.02685	234.16575	0.95046		33.866475	2.6161				24.63845	0.409			0.205		0.019760871	27	0.02719	0.01	31	0.034		51	5.16E-06	112	0.009228	0
TARA_B100000811	TARA_086	SRF	polar	0.22	3	2011-01-09T10:54	-64.3595	-53.0063	5	[SO] Southern Ocean (MRGID:1907)	-0.494375	398.312125	0.219656	0.08405	33.254413	0.13862	2.58757	0	0.012	26.718162	1.553		19.563781	64.01	0.00055	0.006532487	252	0.038566	0.0705	489	17.32	22	22	0.000387726	13	-0.003908	0
TARA_B100000813	TARA_086	DCM	polar	0.22	3	2011-01-09T19:25	-64.3183	-53.1081	35	[SO] Southern Ocean (MRGID:1907)	-1.6387	319.747	0.973888	0.049	34.118125		2.624748	0	0.01785	27.459625	2.4585		29.241873	63.035	0	0.006532487	245	0.038566	0.0575	460	30.125	21	4	0.000387726	13	-0.003908	0
TARA_B100000832	TARA_081	SRF	non polar	0.22	3	2010-12-02T10:28	-44.5342	-52.455	5	[SAO] South Atlantic Ocean (MRGID:1914)	13.6805	255.26575	0.233632		34.793925	0.18255	2.472372			26.0944	0.429		2.439627	1.173		0.154090277	32	0.095682	0.115	880	3.081	161	42	0.001055889	254	-0.263673	5
TARA_B100000834	TARA_081	DCM	non polar	0.22	3	2010-12-02T18:52	-44.5913	-52.1804	35	[SAO] South Atlantic Ocean (MRGID:1914)	13.506225	256.63475	0.291964		34.80505	0.83781	2.487277			26.14055	0.412		2.810686	1.296		0.154090277	38	0.095682	0.132	81	3.359	59	48	0.001055889	308	-0.263673	5
TARA_B100000851	TARA_088	SRF	polar	0.22	3	2011-01-22T08:38	-63.4015	-56.7938	5	[SO] Southern Ocean (MRGID:1907)	-0.763425	335.243	1.129302		34.43205	0.50909				27.683625	2.135			48.17		0.117902499	130	0	0.145	127	27.68		122	7.16E-06	13		2.666667
TARA_B100000858	TARA_089	SRF	polar	0.22	3	2011-01-27T08:27	-57.7338	-67.1084	5	[SO] Southern Ocean (MRGID:1907)	5.8264	289.726	1.063054		34.0449	0.50909				26.8197	1.609			3.293		0.116747778	130	0.107152	0.243	127	22.01		122	9.97E-06	13	0.641371	0
