PANGAEA sample id	BioSamples_ID	ENA_ID	MetaG/MetaT	Station	Layer	Size_fraction	Size_fraction_name	Used_in_OM-RGC.v1 (Sunagawa_et_al_2015)	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Polar
TARA_Y100000361	SAMEA2620894	ERS490089	MetaG	65	DCM	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000356	SAMEA2620861	ERS490035	MetaG	65	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000389	SAMEA2620979	ERS490192	MetaG	67	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000385	SAMEA2620980	ERS490193	MetaG	67	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000748	SAMEA2621044	ERS490303	MetaG	68	DCM	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000746	SAMEA2621045	ERS490304	MetaG	68	DCM	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000758	SAMEA2621003	ERS490238	MetaG	68	MES	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000741	SAMEA2621020	ERS490272	MetaG	68	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000739	SAMEA2621021	ERS490273	MetaG	68	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000782	SAMEA2621099	ERS490380	MetaG	70	MES	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000780	SAMEA2621101	ERS490382	MetaG	70	MES	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000768	SAMEA2621075	ERS490336	MetaG	70	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000766	SAMEA2621076	ERS490337	MetaG	70	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000817	SAMEA2621221	ERS490602	MetaG	76	DCM	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000814	SAMEA2621222	ERS490603	MetaG	76	DCM	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000815	SAMEA2621242	ERS490643	MetaG	76	MES	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000816	SAMEA2621203	ERS490547	MetaG	76	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000813	SAMEA2621204	ERS490548	MetaG	76	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000996	SAMEA2621277	ERS490696	MetaG	78	DCM	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000994	SAMEA2621278	ERS490697	MetaG	78	DCM	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001001	SAMEA2621295	ERS490722	MetaG	78	MES	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000992	SAMEA2621259	ERS490664	MetaG	78	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000991	SAMEA2621260	ERS490665	MetaG	78	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001973	SAMEA2622694	ERS492703	MetaG	122	DCM	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001970	SAMEA2622695	ERS492704	MetaG	122	DCM	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001968	SAMEA2622696	ERS492705	MetaG	122	DCM	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001951	SAMEA2622676	ERS492683	MetaG	122	MES	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001949	SAMEA2622677	ERS492684	MetaG	122	MES	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001947	SAMEA2622678	ERS492685	MetaG	122	MES	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001972	SAMEA2622656	ERS492646	MetaG	122	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001980	SAMEA2622657	ERS492647	MetaG	122	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001978	SAMEA2622658	ERS492648	MetaG	122	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001963	SAMEA2622736	ERS492781	MetaG	123	MIX	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001960	SAMEA2622737	ERS492782	MetaG	123	MIX	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001956	SAMEA2622738	ERS492783	MetaG	123	MIX	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001958	SAMEA2622715	ERS492738	MetaG	123	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001954	SAMEA2622716	ERS492739	MetaG	123	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001938	SAMEA2622799	ERS492866	MetaG	124	MIX	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001936	SAMEA2622800	ERS492867	MetaG	124	MIX	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001934	SAMEA2622801	ERS492868	MetaG	124	MIX	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001937	SAMEA2622763	ERS492818	MetaG	124	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001935	SAMEA2622764	ERS492819	MetaG	124	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100001933	SAMEA2622765	ERS492820	MetaG	124	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000593	SAMEA2622841	ERS492930	MetaG	125	MIX	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000591	SAMEA2622842	ERS492931	MetaG	125	MIX	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000589	SAMEA2622843	ERS492932	MetaG	125	MIX	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000592	SAMEA2622821	ERS492892	MetaG	125	SRF	0.1-0.22	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000590	SAMEA2622822	ERS492893	MetaG	125	SRF	0.22-0.45	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_Y100000588	SAMEA2622823	ERS492894	MetaG	125	SRF	0.45-0.8	Girus/Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Not_used_for_profiling (current work)	Non polar
TARA_X000000368	SAMEA2619399	ERS487936	MetaG	4	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_Y200000002	SAMEA2619388	ERS487911	MetaG	4	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A200000159	SAMEA2591074	ERS477953	MetaG	7	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A200000113	SAMEA2591057	ERS477931	MetaG	7	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_X000001036	SAMEA2619548	ERS488147	MetaG	9	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_X000000950	SAMEA2619531	ERS488119	MetaG	9	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_S200000501	SAMEA2619678	ERS488346	MetaG	18	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100000164	SAMEA2619667	ERS488330	MetaG	18	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_E500000081	SAMEA2591098	ERS477998	MetaG	23	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_E500000075	SAMEA2591084	ERS477979	MetaG	23	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_E500000331	SAMEA2619782	ERS488509	MetaG	25	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_E500000178	SAMEA2619766	ERS488486	MetaG	25	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100001011	SAMEA2591122	ERS478040	MetaG	30	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100001015	SAMEA2591108	ERS478017	MetaG	30	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100001388	SAMEA2619808	ERS488551	MetaG	31	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100001037	SAMEA2619840	ERS488599	MetaG	32	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100001035	SAMEA2619818	ERS488569	MetaG	32	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_A100001234	SAMEA2619857	ERS488621	MetaG	33	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000029	SAMEA2619907	ERS488685	MetaG	34	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000003	SAMEA2619879	ERS488649	MetaG	34	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000035	SAMEA2619952	ERS488747	MetaG	36	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_Y100000022	SAMEA2619936	ERS488723	MetaG	36	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000315	SAMEA2619970	ERS488769	MetaG	37	MES	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000073	SAMEA2620021	ERS488830	MetaG	38	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_Y100000294	SAMEA2620040	ERS488854	MetaG	38	MES	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_Y100000287	SAMEA2620005	ERS488804	MetaG	38	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000085	SAMEA2620081	ERS488916	MetaG	39	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_Y100000031	SAMEA2620107	ERS488946	MetaG	39	MES	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000287	SAMEA2620217	ERS489074	MetaG	41	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000282	SAMEA2620194	ERS489043	MetaG	41	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000131	SAMEA2620259	ERS489134	MetaG	42	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000123	SAMEA2620230	ERS489087	MetaG	42	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000161	SAMEA2620339	ERS489236	MetaG	45	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000242	SAMEA2620404	ERS489315	MetaG	48	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000214	SAMEA2620570	ERS489585	MetaG	52	DCM	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000212	SAMEA2620542	ERS489529	MetaG	52	SRF	0.22-1.6	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000378	SAMEA2620666	ERS489727	MetaG	56	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000609	SAMEA2620651	ERS489712	MetaG	56	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000565	SAMEA2620672	ERS489733	MetaG	57	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000557	SAMEA2620734	ERS489846	MetaG	58	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000532	SAMEA2620756	ERS489877	MetaG	62	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000405	SAMEA2620828	ERS490002	MetaG	64	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000408	SAMEA2620815	ERS489987	MetaG	64	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000401	SAMEA2620786	ERS489917	MetaG	64	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000441	SAMEA2620890	ERS490085	MetaG	65	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000460	SAMEA2620882	ERS490065	MetaG	65	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000437	SAMEA2620855	ERS490029	MetaG	65	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000477	SAMEA2620950	ERS490163	MetaG	66	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B000000475	SAMEA2620929	ERS490124	MetaG	66	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000497	SAMEA2620970	ERS490183	MetaG	67	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000482	SAMEA2621037	ERS490296	MetaG	68	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000470	SAMEA2620995	ERS490230	MetaG	68	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000475	SAMEA2621013	ERS490265	MetaG	68	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000446	SAMEA2621092	ERS490373	MetaG	70	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000459	SAMEA2621066	ERS490327	MetaG	70	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000427	SAMEA2621155	ERS490476	MetaG	72	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000508	SAMEA2621176	ERS490507	MetaG	72	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000424	SAMEA2621132	ERS490433	MetaG	72	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000519	SAMEA2621216	ERS490597	MetaG	76	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000749	SAMEA2621232	ERS490633	MetaG	76	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000513	SAMEA2621198	ERS490542	MetaG	76	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000530	SAMEA2621272	ERS490691	MetaG	78	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000745	SAMEA2621287	ERS490714	MetaG	78	MES	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000524	SAMEA2621254	ERS490659	MetaG	78	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000767	SAMEA2621423	ERS490928	MetaG	82	DCM	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000768	SAMEA2621401	ERS490885	MetaG	82	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Non polar
TARA_B100000780	SAMEA2621487	ERS491001	MetaG	84	SRF	0.22-3	Prokaryote enriched	Used_in_OM-RGC.v1	Used_for_OM-RGC.v2 (current work)	Used_for_profiling (current work)	Polar
